Activity,Main Area,Sub-Location,High-Level Process,Mid-Level Process,Low-Level Process,concept:name,org:resource,case:concept:name,time:timestamp,High-Level Process (Predicted)
Push,Path,Path (Office),Storage,Preparing order,Returning empty cardboard boxes,Path,Subject_01,Case_01,2025-01-01 13:20:07.000,
Handling upwards,Cardboard box area,_,Storage,Preparing order,Returning empty cardboard boxes,Cardboard box area,Subject_01,Case_01,2025-01-01 13:21:56.000,
Pull,Path,Path (Cardboard box area),Storage,Preparing order,Collecting packed cardboard boxes,Path,Subject_01,Case_01,2025-01-01 13:23:07.500,
Push,Issuing/receiving area,_,Storage,Preparing order,Collecting packed cardboard boxes,Issuing/receiving area,Subject_01,Case_01,2025-01-01 13:25:31.500,
Handling downwards,Path,Path (Issuing area),Storage,Preparing order,Collecting packed cardboard boxes,Path,Subject_01,Case_01,2025-01-01 13:27:56.000,
Handling centred,Issuing/receiving area,_,Storage,Preparing order,Collecting packed cardboard boxes,Issuing/receiving area,Subject_01,Case_01,2025-01-01 13:28:55.000,
Push,Path,Path (Office),Storage,Storing _ Travel time,Transport a cart to the base,Path,Subject_01,Case_01,2025-01-01 14:38:49.500,
Push,Cross aisle path,3-4,Storage,Storing _ Travel time,Transport a cart to the base,Cross aisle path,Subject_01,Case_01,2025-01-01 14:39:42.000,
Handling centred,Aisle path,2 front,Storage,Storing _ Store time,Placing items on a rack,Aisle path,Subject_01,Case_01,2025-01-01 14:43:33.500,
Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-01 14:44:06.500,
Standing,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-01 14:50:52.000,
Handling centred,Aisle path,2 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-01 14:52:13.000,
Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-01 14:54:49.000,
Handling centred,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-01 14:59:03.500,
Handling centred,Aisle path,2 front,Storage,Storing _ Store time,Placing items on a rack,Aisle path,Subject_01,Case_01,2025-01-01 14:59:31.000,
Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-01 14:59:44.000,
Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-01 15:03:04.500,
Walking,Aisle path,5 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-01 15:04:59.500,
Walking,Cross aisle path,4-5,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-01 15:08:15.000,
Walking,Aisle path,4 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-01 15:08:50.500,
Walking,Cross aisle path,3-4,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-01 15:09:53.500,
Walking,Base,_,Storage,Storing _ Travel time,Move to a cart,Base,Subject_01,Case_01,2025-01-01 15:11:00.000,
Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-01 15:12:27.500,
Walking,Aisle path,4 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-01 15:13:37.500,
Walking,Cross aisle path,3-4,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-01 15:15:05.500,
Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-01 15:17:03.000,
Handling centred,Aisle path,2 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-01 15:17:28.000,
Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-01 15:19:29.500,
Walking,Base,_,Storage,Storing _ Travel time,Move to a cart,Base,Subject_01,Case_01,2025-01-01 15:19:55.500,
Handling centred,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-01 15:24:02.500,
Handling centred,Aisle path,2 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-01 15:24:28.000,
Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-01 15:26:53.500,
Walking,Aisle path,3 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-01 15:27:24.000,
Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-01 15:28:56.000,
Walking,Base,_,Storage,Storing _ Travel time,Move to a cart,Base,Subject_01,Case_01,2025-01-01 15:29:48.500,
Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,Cross aisle path,Subject_01,Case_01,2025-01-01 15:34:31.500,
Walking,Aisle path,4 front,Storage,Storing _ Travel time,Move to next position,Aisle path,Subject_01,Case_01,2025-01-01 15:35:44.500,
Walking,Cross aisle path,3-4,Storage,Storing _ Travel time,Move to a cart,Cross aisle path,Subject_01,Case_01,2025-01-01 15:37:33.500,
