,Activity,Main Area,Sub-Location,High-Level Process,Mid-Level Process,Low-Level Process,Pose - Legs,concept:name,org:resource,case:concept:name,time:timestamp
282,Walking,Path,Path (Office),Retrieval,Preparing order,Collecting cart,,Path,Subject_01,Case_01,2025-01-01 00:02:21.000
495,Handling upwards,Cart area,_,Retrieval,Preparing order,Collecting cart,,Cart area,Subject_01,Case_01,2025-01-01 00:04:07.500
598,Pull,Path,Path (Cart area),Retrieval,Preparing order,Transition,,Path,Subject_01,Case_01,2025-01-01 00:04:59.000
1084,Push,Cross aisle path,3-4,Retrieval,Preparing order,Transition,,Cross aisle path,Subject_01,Case_01,2025-01-01 00:09:02.000
1278,Pull,Path,Path (Office),Retrieval,Preparing order,Collecting empty cardboard boxes,,Path,Subject_01,Case_01,2025-01-01 00:10:39.000
1865,Push,Cardboard box area,_,Retrieval,Preparing order,Collecting empty cardboard boxes,,Cardboard box area,Subject_01,Case_01,2025-01-01 00:15:32.500
2221,Pull,Path,Path (Cardboard box area),Retrieval,Picking _ Travel time,Transport a cart to the base,,Path,Subject_01,Case_01,2025-01-01 00:18:30.500
2540,Push,Cross aisle path,3-4,Retrieval,Picking _ Travel time,Transport a cart to the base,,Cross aisle path,Subject_01,Case_01,2025-01-01 00:21:10.000
3025,Walking,Aisle path,1 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 00:25:12.500
3338,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 00:27:49.000
3543,Walking,Path,Path (Office),Retrieval,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-01 00:29:31.500
3576,Walking,Office,_,Retrieval,Special processes,Report and clarify the incident,,Office,Subject_01,Case_01,2025-01-01 00:29:48.000
3810,Walking,Path,Path (Office),Retrieval,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-01 00:31:45.000
3832,Walking,Cross aisle path,3-4,Retrieval,Special processes,Report and clarify the incident,,Cross aisle path,Subject_01,Case_01,2025-01-01 00:31:56.000
4034,Handling centred,Base,_,Retrieval,Picking _ Travel time,Move to next position,,Base,Subject_01,Case_01,2025-01-01 00:33:37.000
4092,Handling centred,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-01 00:34:06.000
4153,Walking,Aisle path,1 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-01 00:34:36.500
5492,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-01 00:45:46.000
5643,Standing,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-01 00:47:01.500
